,0M,0M,0M,,,Pulse35min3M,Pulse35min3M,Pulse35min3M,,,Pulse90min3M,Pulse90min3M,Pulse90min3M,,,exp90min3M,exp90min3M,exp90min3M
time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3
0,0.112,0.112,0.113,,0,0.112,0.112,0.113,,0,0.112,0.112,0.113,,0,0.112,0.112,0.113
20,0.132,0.125,0.126,,20,0.132,0.125,0.126,,20,0.132,0.125,0.126,,20,0.132,0.125,0.126
40,0.143,0.143,0.142,,40,0.143,0.143,0.142,,40,0.143,0.143,0.142,,40,0.143,0.143,0.142
60,0.17,0.168,0.165,,60,0.17,0.168,0.165,,60,0.17,0.168,0.165,,60,0.17,0.168,0.165
105,0.258,0.22,0.224,,,,,,,,,,,,,,,
200,0.442,0.413,0.433,,,,,,,,,,,,,,,
245,0.592,0.552,0.579,,203,0.084,0.069,0.074,,206,0.07,0.07,0.067,,210,0.061,0.06,0.061
290,0.786,0.727,0.776,,248,0.086,0.083,0.078,,250,0.073,0.073,0.067,,252,0.065,0.071,0.064
335,1.034,0.969,1.016,,293,0.086,0.075,0.075,,295,0.077,0.067,0.068,,297,0.079,0.075,0.077
,,,,,337,0.085,0.077,0.078,,340,0.086,0.089,0.074,,342,0.096,0.094,0.099
380,0.329,0.307,0.331,,383,0.102,0.088,0.089,,384,0.082,0.076,0.073,,387,0.131,0.123,0.121
425,0.442,0.404,0.434,,430,0.108,0.104,0.101,,432,0.091,0.081,0.083,,433,0.162,0.17,0.152
470,0.568,0.522,0.555,,473,0.111,0.093,0.094,,475,0.082,0.075,0.084,,479,0.227,0.211,0.196
590,1.164,1.056,1.144,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,597,0.066,0.065,0.067
635,0.395,0.339,0.348,,637,0.047,0.043,0.04,,640,0.058,0.031,0.031,,642,0.084,0.075,0.074
685,0.526,0.464,0.489,,687,0.046,0.033,0.041,,689,0.033,0.03,0.034,,691,0.103,0.087,0.089
725,0.672,0.58,0.611,,727,0.046,0.054,0.051,,730,0.03,0.036,0.029,,733,0.122,0.119,0.116
770,0.882,0.774,0.805,,772,0.059,0.049,0.045,,775,0.039,0.035,0.047,,778,0.153,0.13,0.132
815,1.113,0.991,1.017,,817,0.043,0.037,0.052,,820,0.033,0.047,0.058,,822,0.194,0.175,0.157
860,1.642,1.404,1.512,,863,0.049,0.045,0.057,,866,0.048,0.036,0.041,,869,0.269,0.212,0.193
,,,,,,,,,,,,,,,,,,
,,,,,1343,0.01,,,,1343,0.004,,,,1343,0.021,,
,,,,,1413,0.005,,,,1413,0.006,,,,1413,0.033,,
,,,,,1488,0.007,,,,1488,0.007,,,,1488,0.051,,
,,,,,1608,0.004,,,,1608,0.002,,,,1608,0.105,,
,,,,,1788,0.004,,,,1788,0.001,,,,1788,0.366,,
