,0M,0M,0M,,,Pulse20min3M,Pulse20min3M,Pulse20min3M,,,linear90min3M,linear90min3M,linear90min3M
time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3
0,0.071,0.071,0.07,,0,0.071,0.071,0.07,,0,0.071,0.071,0.07
20,0.08,0.081,0.082,,20,0.08,0.081,0.082,,20,0.08,0.081,0.082
40,0.092,0.093,0.093,,40,0.092,0.093,0.093,,40,0.092,0.093,0.093
60,0.115,0.11,0.11,,60,0.115,0.11,0.11,,60,0.115,0.11,0.11
80,0.132,0.13,0.138,,80,0.132,0.13,0.138,,80,0.132,0.13,0.138
100,0.151,0.151,0.149,,100,0.151,0.151,0.149,,100,0.151,0.151,0.149
132,0.181,0.187,0.188,,132,0.181,0.187,0.188,,132,0.181,0.187,0.188
245,0.398,0.411,0.416,,,,,,,,,,
290,0.563,0.565,0.581,,248,0.115,0.116,0.134,,251,0.048,0.046,0.046
340,0.804,0.812,0.834,,293,0.137,0.131,0.161,,296,0.051,0.052,0.053
380,1.026,1.043,1.06,,344,0.155,0.154,0.188,,346,0.064,0.063,0.055
425,1.48,1.502,1.538,,383,0.17,0.168,0.207,,386,0.07,0.065,0.063
470,2.23,2.18,2.36,,430,0.218,0.2,0.256,,433,0.094,0.081,0.072
515,2.5,2.85,3.06,,475,0.244,0.262,0.31,,478,0.117,0.1,0.1
560,4.37,4.07,4.01,,517,0.285,0.272,0.389,,520,0.154,0.162,0.128
610,5.04,5.17,5.1,,,,,,,,,,
665,5.64,5.97,5.66,,641,0.156,0.139,0.19,,644,0.056,0.042,0.04
710,6.79,6.82,6.28,,670,0.159,0.143,0.189,,673,0.065,0.045,0.034
770,8.12,8.29,8.54,,730,0.146,0.132,0.186,,733,0.051,0.039,0.03
830,9.95,9.72,9.96,,775,0.167,0.144,0.188,,782,0.071,0.051,0.044
,,,,,820,0.156,0.157,0.212,,822,0.086,0.066,0.054
,,,,,865,0.179,0.141,0.2,,867,0.093,0.068,0.053
,,,,,911,0.198,0.143,0.223,,913,0.12,0.074,0.103
