,0M,0M,0M,,,Pulse20min3M,Pulse20min3M,Pulse20min3M,,,Pulse25min3M,Pulse25min3M,Pulse25min3M,,,Pulse30min3M,Pulse30min3M,Pulse30min3M,,,t3_90min3M,t3_90min3M,t3_90min3M
time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3
0,0.036,0.037,0.038,,0,0.036,0.037,0.038,,0,0.036,0.037,0.038,,0,0.036,0.037,0.038,,0,0.036,0.037,0.038
20,0.044,0.045,0.047,,20,0.044,0.045,0.047,,20,0.044,0.045,0.047,,20,0.044,0.045,0.047,,20,0.044,0.045,0.047
40,0.052,0.049,0.049,,40,0.052,0.049,0.049,,40,0.052,0.049,0.049,,40,0.052,0.049,0.049,,40,0.052,0.049,0.049
60,0.055,0.057,0.06,,60,0.055,0.057,0.06,,60,0.055,0.057,0.06,,60,0.055,0.057,0.06,,60,0.055,0.057,0.06
100,0.076,0.073,0.08,,100,0.076,0.073,0.08,,100,0.076,0.073,0.08,,100,0.076,0.073,0.08,,100,0.076,0.073,0.08
150,0.103,0.106,0.109,,150,0.103,0.106,0.109,,150,0.103,0.106,0.109,,150,0.103,0.106,0.109,,150,0.103,0.106,0.109
200,0.144,0.152,0.152,,200,0.144,0.152,0.152,,200,0.144,0.152,0.152,,200,0.144,0.152,0.152,,200,0.144,0.152,0.152
240,0.195,0.194,0.197,,240,0.195,0.194,0.197,,240,0.195,0.194,0.197,,240,0.195,0.194,0.197,,240,0.195,0.194,0.197
316,0.318,0.346,0.331,,,,,,,,,,,,,,,,,,,,
392,0.535,0.581,0.553,,316,0.095,0.088,0.093,,320,0.087,0.083,0.101,,325,0.105,0.095,0.123,,,,,
480,0.942,0.994,0.975,,375,0.088,0.093,0.101,,377,0.091,0.094,0.1,,379,0.088,0.097,0.099,,381,0.111,0.089,0.085
570,1.66,2.11,2,,420,0.096,0.089,0.098,,422,0.089,0.091,0.095,,424,0.088,0.096,0.099,,426,0.113,0.093,0.086
645,3.03,3.35,3.11,,465,0.104,0.112,0.131,,467,0.101,0.108,0.117,,469,0.103,0.115,0.117,,472,0.155,0.129,0.116
722,4.57,4.72,4.68,,510,0.105,0.12,0.138,,513,0.109,0.121,0.128,,516,0.102,0.121,0.129,,518,0.203,0.156,0.14
842,6.74,7.38,7.11,,555,0.123,0.137,0.168,,557,0.134,0.14,0.143,,560,0.112,0.157,0.144,,562,0.269,0.211,0.182
932,9.9,10.62,10.22,,600,0.138,0.155,0.208,,602,0.141,0.168,0.16,,604,0.118,0.154,0.156,,606,0.358,0.262,0.23
,,,,,645,0.149,0.181,0.236,,647,0.154,0.176,0.186,,650,0.146,0.175,0.192,,652,0.488,0.347,0.302
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,721,0.068,0.087,0.085,,724,0.071,0.077,0.106,,728,0.061,0.078,0.119,,,,,
,,,,,780,0.074,0.094,0.099,,783,0.061,0.076,0.081,,786,0.056,0.089,0.075,,,,,
,,,,,828,0.075,0.086,0.11,,829,0.065,0.079,0.076,,831,0.073,0.075,0.101,,,,,
,,,,,870,0.069,0.086,0.131,,872,0.073,0.076,0.096,,875,0.058,0.082,0.085,,,,,
,,,,,915,0.067,0.102,0.124,,917,0.102,0.082,0.083,,919,0.06,0.098,0.09,,,,,
,,,,,960,0.121,0.094,0.138,,961,0.088,0.09,0.085,,963,0.062,0.077,0.083,,,,,
,,,,,1005,0.083,0.104,0.13,,1007,0.075,0.087,0.088,,1010,0.061,0.081,0.085,,,,,
,,,,,1045,0.091,0.124,0.148,,1047,0.075,0.095,0.101,,1048,0.07,0.088,0.095,,,,,
