,0M,0M,0M,,,t1_CSM_ctrl,t1_CSM_ctrl,t1_CSM_ctrl,,,Pulse30min3M,Pulse30min3M,Pulse30min3M,,,t1_then_20min3M,t1_then_20min3M,t1_then_20min3M,,,t1_then_30min3M,t1_then_30min3M,t1_then_30min3M
time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3
0,0.055,0.059,0.053,,0,0.055,0.059,0.053,,0,0.055,0.059,0.053,,0,0.055,0.059,0.053,,0,0.055,0.059,0.053
20,0.064,0.065,0.061,,20,0.064,0.065,0.061,,20,0.064,0.065,0.061,,20,0.064,0.065,0.061,,20,0.064,0.065,0.061
40,0.071,0.072,0.07,,40,0.071,0.072,0.07,,40,0.071,0.072,0.07,,40,0.071,0.072,0.07,,40,0.071,0.072,0.07
70,0.093,0.092,0.087,,70,0.093,0.092,0.087,,70,0.093,0.092,0.087,,70,0.093,0.092,0.087,,70,0.093,0.092,0.087
90,0.101,0.102,0.1,,90,0.101,0.102,0.1,,90,0.101,0.102,0.1,,90,0.101,0.102,0.1,,90,0.101,0.102,0.1
120,0.124,0.121,0.114,,,,,,,,,,,,,,,,,,,,
170,0.173,0.169,0.163,,240,0.113,0.109,0.105,,243,0.07,0.071,0.064,,245,0.039,0.038,0.033,,248,0.034,0.033,0.045
215,0.237,0.233,0.225,,285,0.14,0.138,0.134,,288,0.07,0.071,0.063,,290,0.039,0.037,0.034,,292,0.034,0.032,0.044
296,0.42,0.408,0.397,,330,0.182,0.176,0.175,,332,0.072,0.076,0.067,,334,0.043,0.038,0.037,,337,0.036,0.034,0.047
367,0.655,0.652,0.626,,375,0.246,0.231,0.239,,379,0.076,0.077,0.068,,381,0.051,0.042,0.038,,383,0.04,0.038,0.052
433,0.992,0.973,0.945,,420,0.329,0.32,0.31,,423,0.084,0.084,0.078,,426,0.064,0.057,0.048,,428,0.048,0.046,0.06
560,2.43,2.45,2.31,,465,0.431,0.418,0.417,,467,0.083,0.088,0.077,,470,0.078,0.058,0.053,,472,0.058,0.056,0.073
630,3.75,3.82,3.76,,505,0.566,0.541,0.532,,511,0.087,0.091,0.081,,513,0.101,0.073,0.062,,525,0.076,0.068,0.088
695,5.48,5.32,5.2,,,,,,,,,,,,,,,,,,,,
762,6.8,6.78,6.8,,670,0.65,0.626,0.644,,676,0.043,0.057,0.047,,683,0.053,0.04,0.028,,687,0.035,0.033,0.042
830,8.82,8.46,8.45,,715,0.811,0.775,0.796,,706,0.045,0.057,0.045,,708,0.05,0.04,0.031,,711,0.036,0.033,0.039
870,9.28,9.51,9.79,,766,1.19,1.11,1.16,,770,0.049,0.058,0.047,,773,0.061,0.045,0.035,,796,0.04,0.037,0.043
,,,,,822,1.77,1.66,1.68,,810,0.047,0.057,0.047,,813,0.073,0.049,0.035,,816,0.046,0.042,0.045
,,,,,863,2.23,2.12,2.28,,847,0.05,0.055,0.047,,851,0.088,0.056,0.043,,856,0.049,0.049,0.051
,,,,,907,2.96,2.82,2.93,,892,0.049,0.059,0.047,,896,0.111,0.067,0.052,,899,0.065,0.053,0.055
,,,,,961,4.2,3.83,4.07,,943,0.051,0.058,0.048,,948,0.148,0.085,0.058,,957,0.08,0.071,0.069
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1677,0,,,,1637,0.02,,,,1637,0.02,,
,,,,,,,,,,1772,0,,,,1732,0.025,,,,1732,0.02,,
,,,,,,,,,,1817,0,,,,1777,0.035,,,,1777,0.035,,
,,,,,,,,,,1887,0,,,,1847,0.036666667,,,,1847,0.036666667,,
,,,,,,,,,,1937,0,,,,1897,0.053333333,,,,1897,0.043333333,,
,,,,,,,,,,1997,0,,,,1957,0.083333333,,,,1957,0.086666667,,
,,,,,,,,,,2052,0,,,,2012,0.15,,,,2012,0.143333333,,
,,,,,,,,,,2077,0,,,,2037,0.203333333,,,,2037,0.176666667,,
,,,,,,,,,,2107,0,,,,2067,0.226666667,,,,2067,0.193333333,,
,,,,,,,,,,2132,0,,,,2092,0.303333333,,,,2092,0.243333333,,
