,0M,0M,0M,,,exp_CSM_ctrl,exp_CSM_ctrl,exp_CSM_ctrl,,,Pulse20min3M,Pulse20min3M,Pulse20min3M,,,exp_then_20min3M,exp_then_20min3M,exp_then_20min3M,,,exp_then_30min3M,exp_then_30min3M,exp_then_30min3M
time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3
0,0.242,0.242,0.242,,0,0.242,0.242,0.242,,0,0.242,0.242,0.242,,0,0.242,0.242,0.242,,0,0.242,0.242,0.242
20,0.281,0.282,0.282,,20,0.281,0.282,0.282,,20,0.281,0.282,0.282,,20,0.281,0.282,0.282,,20,0.281,0.282,0.282
42,0.325,0.32,0.322,,42,0.325,0.32,0.322,,42,0.325,0.32,0.322,,42,0.325,0.32,0.322,,42,0.325,0.32,0.322
69,0.395,0.391,0.392,,69,0.395,0.391,0.392,,69,0.395,0.391,0.392,,69,0.395,0.391,0.392,,69,0.395,0.391,0.392
94,0.471,0.467,0.468,,94,0.471,0.467,0.468,,94,0.471,0.467,0.468,,94,0.471,0.467,0.468,,94,0.471,0.467,0.468
132,0.598,0.587,0.601,,,,,,,,,,,,,,,,,,,,
171,0.781,0.763,0.765,,243,0.463,0.468,0.497,,231,0.319,0.317,0.314,,249,0.15,0.131,0.119,,256,0.148,0.142,0.128
194,0.883,0.886,0.877,,280,0.565,0.561,0.603,,284,0.343,0.345,0.341,,287,0.165,0.148,0.13,,291,0.159,0.137,0.137
,,,,,322,0.731,0.728,0.781,,325,0.376,0.378,0.371,,327,0.192,0.168,0.151,,331,0.184,0.157,0.157
269,1.6,1.45,1.56,,368,0.954,0.946,1.015,,372,0.419,0.417,0.416,,375,0.237,0.205,0.175,,378,0.224,0.184,0.184
339,2.62,2.5,2.54,,412,1.31,1.35,1.44,,416,0.473,0.47,0.463,,420,0.287,0.244,0.206,,423,0.275,0.221,0.221
444,3.42,3.3,3.3,,455,1.88,1.79,1.95,,459,0.532,0.535,0.53,,462,0.368,0.316,0.264,,465,0.364,0.283,0.283
552,5.46,5.52,5.61,,500,2.55,2.5,2.51,,506,0.622,0.628,0.614,,513,0.492,0.419,0.349,,517,0.495,0.38,0.38
645,7.65,7.62,7.92,,,,,,,,,,,,,,,,,,,,
746,10.23,10.07,10.16,,663,2.5,2.38,2.5,,669,0.344,0.349,0.347,,675,0.195,0.151,0.12,,679,0.175,0.159,0.123
,,,,,710,3.06,2.77,2.96,,714,0.36,0.361,0.362,,718,0.22,0.174,0.135,,723,0.192,0.174,0.13
,,,,,751,4.03,3.45,3.98,,755,0.376,0.379,0.378,,760,0.257,0.196,0.15,,763,0.217,0.197,0.156
,,,,,800,5.22,4.88,5.27,,803,0.415,0.401,0.407,,808,0.315,0.244,0.184,,811,0.261,0.24,0.178
,,,,,841,6.35,6.05,6.4,,844,0.445,0.435,0.438,,848,0.379,0.285,0.207,,850,0.314,0.279,0.198
,,,,,870,7.45,7.29,7.76,,883,0.487,0.48,0.482,,886,0.468,0.345,0.242,,890,0.375,0.338,0.234
,,,,,930,9.47,9.13,9.23,,933,0.566,0.532,0.53,,938,0.622,0.459,0.316,,941,0.494,0.45,0.322
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,1571,0.01,,,,1571,0.028,,,,1571,0.025,,
,,,,,,,,,,1631,0.014,,,,1631,0.038,,,,1631,0.04,,
,,,,,,,,,,1704,0.022,,,,1704,0.069,,,,1704,0.067,,
,,,,,,,,,,1751,0.043,,,,1751,0.112,,,,1751,0.106,,
,,,,,,,,,,1808,0.055,,,,1808,0.139,,,,1808,0.158,,
,,,,,,,,,,1881,0.11,,,,1881,0.212,,,,1881,0.277,,
,,,,,,,,,,1946,0.201,,,,1946,0.383,,,,1946,0.501,,
,,,,,,,,,,1993,0.314,,,,1993,0.669,,,,1993,0.674,,
,,,,,,,,,,2086,0.639,,,,2086,1.238,,,,2086,1.231,,
,,,,,,,,,,2136,0.83,,,,2136,1.8,,,,2136,1.51,,
,,,,,,,,,,2211,1.09,,,,2211,2.03,,,,2211,2.14,,
,,,,,,,,,,2267,1.4,,,,2267,2.34,,,,2267,2.66,,
,,,,,,,,,,2353,1.98,,,,2353,2.74,,,,2353,3.31,,
,,,,,,,,,,2393,2.43,,,,2393,5.39,,,,2393,5.73,,
