,0M,0M,0M,,,t0_3M_120min,t0_3M_120min,t0_3M_120min,,,t0_3M_90min,t0_3M_90min,t0_3M_90min,,,t0_3M_60min,t0_3M_60min,t0_3M_60min,,,t0_3M_30min,t0_3M_30min,t0_3M_30min
time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3
0,0.269,0.266,0.267,,0,0.269,0.266,0.267,,0,0.269,0.266,0.267,,0,0.269,0.266,0.267,,0,0.269,0.266,0.267
15,0.295,0.297,0.295,,15,0.295,0.297,0.295,,15,0.295,0.297,0.295,,15,0.295,0.297,0.295,,15,0.295,0.297,0.295
35,0.331,0.338,0.33,,35,0.331,0.338,0.33,,35,0.331,0.338,0.33,,35,0.331,0.338,0.33,,35,0.331,0.338,0.33
54,0.384,0.375,0.381,,54,0.384,0.375,0.381,,54,0.384,0.375,0.381,,54,0.384,0.375,0.381,,54,0.384,0.375,0.381
74,0.433,0.434,0.437,,74,0.433,0.434,0.437,,74,0.433,0.434,0.437,,74,0.433,0.434,0.437,,74,0.433,0.434,0.437
93,0.491,0.482,0.493,,93,0.491,0.482,0.493,,93,0.491,0.482,0.493,,93,0.491,0.482,0.493,,93,0.491,0.482,0.493
103,0.536,0.526,0.535,,,,,,,,,,,,,,,,,,,,
123,0.619,0.593,0.615,,234,0.145,0.167,0.163,,240,0.165,0.17,0.164,,242,0.185,0.191,0.188,,248,0.191,0.213,0.218
153,0.763,0.721,0.747,,278,0.149,0.17,0.165,,281,0.168,0.17,0.166,,284,0.185,0.194,0.189,,287,0.2,0.227,0.23
176,0.861,0.834,0.867,,324,0.155,0.176,0.17,,327,0.175,0.188,0.181,,330,0.206,0.215,0.207,,333,0.221,0.254,0.261
,,,,,368,0.161,0.183,0.175,,371,0.184,0.2,0.191,,374,0.218,0.227,0.218,,377,0.238,0.278,0.287
203,1.38,1.06,1.03,,416,0.167,0.191,0.182,,420,0.192,0.211,0.2,,422,0.233,0.245,0.235,,425,0.258,0.308,0.321
258,1.68,1.56,1.63,,458,0.18,0.202,0.196,,461,0.205,0.23,0.216,,464,0.249,0.263,0.255,,467,0.285,0.344,0.363
320,2.42,2.27,2.42,,500,0.189,0.214,0.208,,505,0.215,0.251,0.23,,510,0.268,0.285,0.266,,514,0.319,0.391,0.405
383,3.51,3.26,3.59,,,,,,,,,,,,,,,,,,,,
434,4.57,4.16,4.63,,654,0.073,0.083,0.083,,656,,0.093,0.09,,659,0.103,0.11,0.107,,663,0.128,0.158,0.169
497,5.98,6.21,5.66,,699,0.069,0.08,0.08,,701,,0.093,0.083,,703,0.098,0.105,0.102,,706,0.131,0.162,0.168
588,7.95,7.42,8.39,,743,0.07,0.075,0.079,,745,,0.093,0.087,,748,0.099,0.102,0.102,,750,0.139,0.168,0.181
653,9.53,8.97,9.92,,788,0.071,0.076,0.078,,791,,0.092,0.087,,796,0.1,0.109,0.106,,793,0.143,0.181,0.189
,,,,,828,0.07,0.076,0.077,,830,,0.092,0.083,,831,0.096,0.108,0.105,,834,0.15,0.18,0.2
,,,,,873,0.069,0.077,0.078,,874,,0.093,0.085,,877,0.098,0.104,0.106,,880,0.159,0.197,0.224
,,,,,918,0.068,0.076,0.079,,920,,0.094,0.084,,922,0.096,0.107,0.102,,925,0.165,0.206,0.234
