,0M,0M,0M,,,t0_3M_30min_30minSHIFT,t0_3M_30min_30minSHIFT,t0_3M_30min_30minSHIFT,,,t0_3M_30min_60minSHIFT,t0_3M_30min_60minSHIFT,t0_3M_30min_60minSHIFT,,,t0_3M_30min_90minSHIFT,t0_3M_30min_90minSHIFT,t0_3M_30min_90minSHIFT,,,t1_90min_3M30min,t1_90min_3M30min,t1_90min_3M30min
time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3,,time (min),BR1,BR2,BR3
0,0.183,0.191,0.18,,0,0.183,0.191,0.18,,0,0.183,0.191,0.18,,0,0.183,0.191,0.18,,0,0.183,0.191,0.18
23,0.216,0.214,0.213,,23,0.216,0.214,0.213,,23,0.216,0.214,0.213,,23,0.216,0.214,0.213,,23,0.216,0.214,0.213
50,0.261,0.26,0.258,,50,0.261,0.26,0.258,,50,0.261,0.26,0.258,,50,0.261,0.26,0.258,,50,0.261,0.26,0.258
90,0.342,0.344,0.341,,90,0.342,0.344,0.341,,90,0.342,0.344,0.341,,90,0.342,0.344,0.341,,90,0.342,0.344,0.341
115,0.41,0.41,0.408,,115,0.41,0.41,0.408,,115,0.41,0.41,0.408,,115,0.41,0.41,0.408,,115,0.41,0.41,0.408
130,0.436,0.434,0.436,,130,0.436,0.434,0.436,,130,0.436,0.434,0.436,,130,0.436,0.434,0.436,,130,0.436,0.434,0.436
145,0.486,0.483,0.485,,145,0.486,0.483,0.485,,145,0.486,0.483,0.485,,145,0.486,0.483,0.485,,145,0.486,0.483,0.485
175,0.564,0.548,0.545,,,,,,,,,,,,,,,,,,,,
208,0.768,0.732,0.741,,290,0.237,0.236,0.226,,293,0.287,0.271,0.276,,299,0.353,0.337,0.348,,304,0.105,0.1,0.096
247,0.965,0.927,0.925,,337,0.258,0.255,0.24,,340,0.312,0.297,0.298,,343,0.388,0.38,0.395,,333,0.108,0.102,0.1
,,,,,385,0.285,0.279,0.266,,388,0.348,0.324,0.32,,391,0.438,0.431,0.466,,382,0.124,0.117,0.113
315,1.75,1.56,1.6,,431,0.316,0.309,0.295,,433,0.39,0.362,0.346,,437,0.497,0.501,0.538,,427,0.149,0.141,0.129
420,3.47,3.23,3.17,,473,0.355,0.344,0.326,,477,0.443,0.404,0.396,,481,0.571,0.583,0.647,,470,0.183,0.171,0.158
488,5.03,4.71,4.61,,516,0.397,0.384,0.365,,518,0.498,0.443,0.43,,522,0.64,0.664,0.731,,513,0.228,0.211,0.188
540,6.14,5.18,5.28,,545,0.426,0.412,0.392,,555,0.539,0.498,0.464,,560,0.726,0.741,0.861,,565,0.299,0.27,0.236
642,8.36,7.84,7.98,,,,,,,,,,,,,,,,,,,,
705,10.1,9.67,9.48,,713,0.178,0.166,0.162,,717,0.247,0.227,0.21,,721,0.365,0.391,0.46,,725,0.101,0.097,0.085
,,,,,757,0.185,0.167,0.165,,760,0.251,0.23,0.213,,763,0.385,0.422,0.476,,753,0.106,0.102,0.084
,,,,,800,0.194,0.174,0.174,,804,0.258,0.238,0.218,,807,0.404,0.438,0.502,,797,0.117,0.11,0.09
,,,,,846,0.206,0.18,0.188,,849,0.275,0.249,0.226,,852,0.427,0.468,0.541,,843,0.139,0.135,0.105
,,,,,887,0.219,0.189,0.19,,890,0.291,0.268,0.243,,894,0.466,0.506,0.595,,884,0.17,0.158,0.126
,,,,,937,0.234,0.204,0.202,,941,0.317,0.293,0.264,,944,0.515,0.563,0.67,,933,0.215,0.199,0.153
,,,,,988,0.257,0.218,0.219,,990,0.34,0.318,0.287,,992,0.581,0.636,0.75,,984,0.285,0.26,0.201
